timestamp,sound,light,movement,temperature,humidity,heartrate
2026-01-20T16:17:58.478974+00:00,73,1041,0.06,24.76,60.83,85
2026-01-20T16:17:59.035635+00:00,78,1061,0.06,24.76,60.8,85
2026-01-20T16:17:59.637083+00:00,71,1042,0.04,24.76,60.79,85
2026-01-20T16:18:00.144567+00:00,81,1043,0.06,24.76,60.76,85
2026-01-20T16:18:00.682956+00:00,80,1061,0.06,24.76,60.72,85
2026-01-20T16:18:01.237299+00:00,73,1042,0.07,24.78,60.73,85
2026-01-20T16:18:01.791024+00:00,73,1065,0.12,24.77,60.73,85
2026-01-20T16:18:02.348626+00:00,88,1040,0.07,24.77,60.73,85
2026-01-20T16:18:02.905689+00:00,82,1053,0.05,24.79,60.72,85
2026-01-20T16:18:03.477620+00:00,82,1065,0.1,24.78,60.73,85
2026-01-20T16:18:04.018018+00:00,75,1040,0.06,24.78,60.71,85
2026-01-20T16:18:04.558419+00:00,81,1059,0.05,24.78,60.71,85
2026-01-20T16:18:05.146271+00:00,64,1047,0.06,24.78,60.68,85
2026-01-20T16:18:05.719808+00:00,98,1061,0.08,24.79,60.68,85
2026-01-20T16:18:06.213713+00:00,84,1072,0.08,24.78,60.65,85
2026-01-20T16:18:06.751663+00:00,75,1045,0.06,24.78,60.65,85
2026-01-20T16:18:07.305302+00:00,91,1046,0.04,24.78,60.64,85
2026-01-20T16:18:07.876588+00:00,76,1065,0.04,24.77,60.65,85
2026-01-20T16:18:08.446418+00:00,68,1044,0.04,24.78,60.68,85
2026-01-20T16:18:08.968040+00:00,89,1054,0.05,24.78,60.69,85
2026-01-20T16:18:09.503604+00:00,83,1051,0.08,24.76,60.71,85
2026-01-20T16:18:10.074218+00:00,75,1044,0.09,24.78,60.71,85
2026-01-20T16:18:10.678917+00:00,85,1062,0.03,24.79,60.73,85
2026-01-20T16:18:11.201391+00:00,74,1043,0.04,24.78,60.7,85
2026-01-20T16:18:11.812546+00:00,75,1056,0.05,24.78,60.7,85
2026-01-20T16:18:12.302170+00:00,78,1043,0.03,24.78,60.71,85
2026-01-20T16:18:12.824799+00:00,74,1048,0.02,24.77,60.7,85
2026-01-20T16:18:13.363374+00:00,98,1049,0.06,24.78,60.72,85
2026-01-20T16:18:13.933448+00:00,77,1045,0.04,24.78,60.77,85
2026-01-20T16:18:14.503285+00:00,84,1040,0.04,24.79,60.82,85
2026-01-20T16:18:15.050460+00:00,81,1055,0.06,24.77,60.85,85
2026-01-20T16:18:15.622021+00:00,84,1052,0.05,24.78,60.84,85
2026-01-20T16:18:16.160847+00:00,89,1059,0.06,24.78,60.82,85
2026-01-20T16:18:16.682466+00:00,79,1043,0.07,24.76,60.83,85
2026-01-20T16:18:17.251436+00:00,84,1023,0.07,24.79,60.82,85
2026-01-20T16:18:17.837952+00:00,72,1034,0.06,24.79,60.85,85
2026-01-20T16:18:18.390291+00:00,80,1018,0.04,24.78,60.87,85
2026-01-20T16:18:18.945649+00:00,72,1040,0.05,24.78,60.87,85
2026-01-20T16:18:19.450997+00:00,63,1037,0.06,24.78,60.89,85
2026-01-20T16:18:19.992640+00:00,73,1023,0.06,24.77,60.9,85
2026-01-20T16:18:20.563058+00:00,76,1062,0.08,24.74,60.87,85
2026-01-20T16:18:21.085626+00:00,77,1042,0.04,24.77,60.85,85
2026-01-20T16:18:21.638007+00:00,96,1040,0.02,24.76,60.85,85
2026-01-20T16:18:22.192942+00:00,96,1055,0.1,24.76,60.9,85
2026-01-20T16:18:22.746972+00:00,76,1034,0.07,24.76,60.86,85
2026-01-20T16:18:23.301786+00:00,76,1050,0.09,24.77,60.8,85
2026-01-20T16:18:23.876194+00:00,74,1041,0.16,24.76,60.83,85
2026-01-20T16:18:24.448568+00:00,79,1040,0.12,24.76,60.85,85
2026-01-20T16:18:24.958156+00:00,92,1062,0.06,24.75,60.82,85
2026-01-20T16:18:25.431126+00:00,74,1046,0.01,24.75,60.8,85
2026-01-20T16:18:26.093912+00:00,70,1050,0.06,24.73,60.86,85
2026-01-20T16:18:26.616361+00:00,72,1044,0.08,24.74,60.9,85
2026-01-20T16:18:27.376411+00:00,76,1046,0.06,24.74,60.9,85
2026-01-20T16:18:27.820900+00:00,60,1075,0.01,24.74,60.9,85
2026-01-20T16:18:28.264639+00:00,71,1008,0.02,24.73,60.86,85
2026-01-20T16:18:28.817768+00:00,94,1069,0.04,24.74,60.89,85
2026-01-20T16:18:29.355851+00:00,79,1077,0.02,24.74,60.9,85
2026-01-20T16:18:29.896212+00:00,92,1071,0.06,24.74,60.92,85
2026-01-20T16:18:30.497794+00:00,78,1093,0.06,24.75,60.93,85
2026-01-20T16:18:31.084873+00:00,78,1070,0.05,24.75,60.93,85
2026-01-20T16:18:31.592228+00:00,69,1066,0.14,24.75,60.92,85
2026-01-20T16:18:32.131466+00:00,88,1069,0.11,24.76,60.92,85
2026-01-20T16:18:32.686032+00:00,77,1068,0.02,24.76,60.93,85
2026-01-20T16:18:33.236006+00:00,78,1084,0.09,24.76,60.94,85
2026-01-20T16:18:33.839564+00:00,85,1069,0.08,24.77,60.96,85
2026-01-20T16:18:34.348220+00:00,77,1061,0.1,24.77,60.97,85
